representative	grouped_terms	genes
structural constituent of ribosome	structural constituent of ribosome;ribosomal subunit;ribosome	Rpl12;Rpl10;Rpl37;Rps20;Uba52;Rps27a;Rpl35;Rpl26;Rpl17;Rpl38;Rpl36;Rpl35a;Rps23;Rpl24;Rps27l;Rps6;Rpl21;Rps16;Mrpl51;Rpl23;Rps10;Rps8;Rps18;Rpl35rt;Rpl14;Rps15;Mrps21;Rpl37rt;Rpl36al;Rpl13;Rpl31;Rpl37a;Fau;Rpl13a;Mrpl14;Rpl18a;Rps19;Rpl39;Mrps17;Rpl36a;Rps12;Mrpl54;Rps11;Mrpl30;Rps25;Rpl5;Mrps35;Mrpl52;Rpl22;Rpl34;Mrpl23;Rps29;Mrps6;Rpl6l;Rps17;Rps14;Imp3;Mrpl15;Mrpl55;Mrpl27;Rps28;Mrpl20;Rpl11;Rpl18;Mrpl18;Rpl29;Dap3;Rpsa;mt-Rnr1;Rplp1;Mrpl19;Uba52rt;Rps27;Mrps7;Mrpl24;Mrpl36;Rps27rt;Mrpl2;Rps15a;Mrps25;Rplp2;Mrps18b;Mrps15;mt-Rnr2;Rpl32;Rpl15;Rps6-ps4;Rpl10a;Rpl30;Rpl7;Mrpl49;Rpl34-ps1;Rps26;Mrps34;Rps13;Mrps16;Rpl28;Rpl6;Rps9;Rpl8;Rps24;Mrpl21;Mrps10;Rps5;Mrps11;Rpl27;Ndufa7;Mrpl4;Aurkaip1;Rpl10-ps3;Rps18-ps5;Rpl36a-ps1;Rps4l;Rbm3;Gadd45gip1;Mrps33;Mrps28;Rsl1d1;Mpv17l2;Nhp2;Rack1;Mrpl58;Elavl4
translation at presynapse	translation at presynapse;translation at synapse;translation at postsynapse	Rpl12;Rpl10;Rpl37;Uba52;Rps27a;Rpl35;Rpl26;Rpl17;Rpl38;Rpl36;Rpl35a;Rpl24;Rps16;Rpl23;Rps10;Rpl14;Rpl13;Rpl37a;Rpl13a;Rpl36a;Rps12;Rps11;Rpl5;Rpl22;Rpl34;Rps14;Rps28;Rpl29;Rps27;Rps15a;Rplp2;Rpl32;Rpl15;Rpl10a;Rpl7;Rps26;Rpl28;Rpl6;Rpl8;Rps24;Rps5;Rpl27
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;purine ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleotide biosynthetic process;ribonucleotide biosynthetic process;purine-containing compound biosynthetic process;nucleotide biosynthetic process;purine ribonucleoside triphosphate metabolic process;ribonucleoside triphosphate metabolic process;nucleoside phosphate biosynthetic process;nucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process	Ndufa6;Atp5mf;Atp5pd;Ndufa5;Ndufa12;Ndufa13;Antkmt;Ndufa2;Ndufs5;Ndufb10;Ndufa8;Ndufs7;Ndufc1;Ndufa3;Atp5mc1;Atp5f1e;Ndufb1;Ndufa11;Ndufb5;Ndufs6;Ndufb7;Ndufb9;Ndufb3;Ndufv3;Atp5mg;Ndufab1;Atp5pf;Ndufv2;Atp5me;Ndufb2;Ndufs3;Ndufb11;Atp5po;Ndufs8;Ndufa1;Atp5f1d;Sdhb;Ndufb4;Ndufb6;Ndufa10;Ndufb8;ND3;Atp5mc2;Uqcc3;Prkn;Nme3;Nme2;Nme6;Dtymk;Ppcdc;Pfas;Ppcs;Adcy9;Ak2;Ampd2;Ndufs4;Ndufa7;Atp5mc3;G6pdx;Prpsap1;Guca1a;Nmnat1;Haao;Galt;Gapdhrt;Mlxipl;Gpi1;Foxk2;Khk;Hspa8;Dctpp1;Fis1;Ier3
respiratory chain complex	respiratory chain complex;respirasome;mitochondrial respirasome	Ndufa6;Ndufa5;Cox6c;Ndufa12;Cox5b;Uqcr11;Ndufa13;Ndufa2;Cox6b1;Uqcc3;Ndufs5;Uqcr10;Uqcrq;Ndufb10;Ndufa8;Ndufs7;Ndufc1;Ndufa3;Ndufb1;Ndufa11;Ndufb5;Ndufs6;Ndufb7;Ndufb9;Ndufb3;Cox7c;Cox4i1;Ndufv3;Ndufab1;Uqcrb;Ndufv2;Ndufb2;Ndufs3;Ndufb11;Cox7b;Cox7a2;Ndufs8;Ndufa1;Sdhb;Ndufb4;Ndufb6;Cox7a1;Uqcrh;Ndufa10;Ndufb8;ND3;Cox6a1;Ndufs6b;Dmac1;Foxred1;Cox8b;Ndufs4;Cox6c2;Ndufa7;AA467197;COX2;Uqcc4
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufa6;Ndufa5;Ndufa12;Ndufa13;Ndufa2;Ndufs5;Ndufb10;Ndufa8;Ndufs7;Ndufc1;Ndufa3;Ndufb1;Ndufa11;Ndufb5;Ndufs6;Ndufb7;Ndufb9;Ndufb3;Ndufv3;Ndufab1;Ndufv2;Ndufb2;Ndufs3;Ndufb11;Ndufs8;Ndufa1;Ndufb4;Ndufb6;Ndufa10;Ndufb8;ND3;Ndufs6b;Dmac1;Foxred1;Ndufs4;Ndufa7
nucleoside bisphosphate metabolic process	nucleoside bisphosphate metabolic process;ribonucleoside bisphosphate metabolic process;purine nucleoside bisphosphate metabolic process	Acnat1;Sult1e1;Ehhadh;Acot6;Slc25a42;Hmgcs1;Mlycd;Mvk;Fitm2;Pdk4;Dld;Acot2;Vnn1;Hmgcl;Hsd17b4;Mmut;Acot3;Acot4;Pank1;Acsl1;Hmgcs2;Crot;Pank3;Acnat2;Acot12;Acat1;Acot1;Enpp1;Sult2a4;Sult2a6;Sult2a3;Sult2a5;Sult2a2;Sult2a1
organellar ribosome	organellar ribosome;mitochondrial ribosome;mitochondrial translation;mitochondrial gene expression	Aurkaip1;Mrpl51;Mrps21;Mrpl14;Mrps17;Mrpl54;Mrpl30;Mrps35;Gadd45gip1;Mrpl52;Mrpl23;Mrps6;Mrpl15;Mrpl55;Mrps33;Mrpl27;Mrps28;Mrpl20;Mrpl18;Dap3;mt-Rnr1;Mrpl19;Mrps7;Mrpl24;Mrpl36;Mrpl2;Mrps25;Mrps18b;Mpv17l2;Mrps15;mt-Rnr2;Mrpl49;Mrps34;Mrps16;Mrpl58;Mrpl21;Mrps10;Mrps11;Ndufa7;Mrpl4;Mrps14;Mrps24;Mrpl47;Mrpl57;Coa3;Uqcc2;Malsu1;Alkbh1;Rmnd1;Rcc1l;Lars2;Rars2;Mtres1;Fastk;Tbrg4;Mterf1b;Mterf1a
peroxisome	peroxisome;microbody	Ptgr3;Rab8b;Mpv17;Pex1;Atad1;Agps;Acnat1;Acox2;Akap11;Amacr;Isoc1;Decr2;Ehhadh;Pex14;Nudt12;Acot6;Acox1;Mlycd;Ech1;Pex3;Mvk;Eci3;Idi1;Urad;Idi1-ps1;Hacl1;Abcd3;Arf1;Hmgcl;Nbr1;Hsd17b4;Hao1;Pex11a;Dhrs4;Slc27a2;Acot3;Vwa8;Acot4;Pnpla8;Crat;Acsl1;Pxmp4;Pex19;Eci2;Acad11;Crot;Lonp2;Abcd2;Acnat2;Hsdl2;Aldh3a2;Hao2
fatty acid catabolic process	fatty acid catabolic process;monocarboxylic acid catabolic process	Akt1;Decr1;Acox2;Decr2;Ehhadh;Mtor;Acox1;Acads;Acadvl;Irs2;Mlycd;Eci3;Cyp4f14;Hacl1;Acot2;Hadh;Lpin1;Abcd3;Ilvbl;Hsd17b4;Hao1;Etfdh;Sesn2;Slc27a2;Acadm;Cpt1a;Plin5;Crat;Acadl;Pck1;Eci2;Acad11;Crot;Lonp2;Abcd2;Hadha;Abhd2;Acat1;Cpt2;Mfsd2a;Hao2;Akt2;Hadhb;Ldha;Pon3;Ids;Slc16a1;Hexb;Cyp39a1
cholesterol metabolic process	cholesterol metabolic process;secondary alcohol metabolic process;sterol metabolic process	Prkaa2;Por;Errfi1;Lpcat3;Sult2a7;Hdlbp;Lepr;Cyp27a1;Lima1;Cftr;Ces1c;Lipc;Ces1g;Msmo1;Nsdhl;Pon1;Vldlr;Nfe2l1;Hsd3b7;Qki;Cyp51;Lrp1;App;Abca5;Mttp;Acadvl;Hmgcs1;Mvk;Idi1;Fech;Lipa;Srebf2;Npc1;Pctp;Scarb1;Dhcr24;Insig2;Fgf1;Acadl;Hmgcs2;Apob;Mbtps1;Lcat;Apoa4;Hsd17b7;Cyp39a1;Lrp5;Sult2a4;Sult2a6;Sult2a3;Sult2a5;Sult2a2;Sult2a1;Enpp1;Erg28;Lipo2
