representative	grouped_terms	genes
mitochondrial respirasome	mitochondrial respirasome;respiratory chain complex;respirasome	COX3;Ndufs6b;Ndufa1;Cox4i2;Ndufa6;Wdr93;Ndufc1;Ndufa7;Sdhc;Ndufb11;Cox6c2;Cox7a1;Cox7c;Ndufb9;Ndufb5;Ndufs2;Ndufb8;Uqcrfs1;ND3;Uqcrb;Sdhb;Ndufb2;Ndufb3;Cox8a;Ndufa4l2;Ndufs6;Ndufab1;Ndufs5;Ndufb1;Ndufa13;Uqcr10;Ndufa12;Cox6a1;Ndufb10;Ndufb4;Ndufs3;Ndufa9;Uqcc3;Cox4i1;Cox6c;Uqcr11;Cox5b;Ndufs8;Ndufv2;Ndufa2;Ndufs7;Ndufb7;Ndufa3;Ndufa11;Stmp1;Ndufv3;Ndufa5;Uqcrq;Ndufa8;Cox6b1;Ndufa10
translation at presynapse	translation at presynapse;translation at synapse;translation at postsynapse	Rplp2;Rps15a;Rpl27a;Rps5;Rps26;Rps12;Rpl12;Rps16;Rps24;Rpl15;Rpl34;Rpl36a;Rpl17;Rps11;Rps28;Rps14;Rpl35a;Rpl29;Uba52;Rpl37;Rpl37a;Rpl26;Rpl10;Rpl8;Rpl36;Rpl13a;Rpl24;Rpl13;Rpl35;Rps10;Rpl38;Rpl14
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	Ndufs4;Ak4;COX3;Ndufa1;Cox4i2;Atp5po;Ndufa6;Sdhaf2;Ndufc1;Ndufa7;Vcp;Sdhc;Ndufb11;Ppif;Cox7a1;Cox7c;Ndufb9;Ndufb5;Ndufs2;Slc25a23;Ndufb8;Stoml2;Dnajc30;Atp5me;Uqcrfs1;ND3;Uqcrb;Sdhb;Chchd2;Atp5pf;Ndufb2;Ndufb3;Cox8a;Antkmt;Ndufs6;Ndufab1;Ndufs5;Ndufb1;Ndufa13;Uqcr10;Ndufa12;Cycs;Nupr1;Iscu;Cox6a1;Atp5mf;Pink1;Afg1l;Ndufb10;Ndufb4;Shmt2;Ndufs3;Ndufa9;Atp5f1d;Fxn;Uqcc3;Cox4i1;Apoc3;Atp5pd;Park7;Uqcr11;Cox5b;Ndufs8;Atp5f1e;Chchd10;Ndufv2;Ndufa2;Ndufs7;Ndufb7;Ndufa3;Ndufa11;Uqcc2;Ndufv3;Ndufa5;Gadd45gip1;Uqcrq;Ndufa8;Ndufa10;Idh3g;Mtfr1l;Cs;Oxa1l;Arl2;Cbfa2t3;Mfn2;Nop53;Ide;Suclg2;Cox10;Ogdh;Bloc1s1;Sod2;Slc37a2;Prkaca;Hoxb3os;Mybbp1a;Ifnar1;Pik3ca;Chchd5;Gpd1;Bax;Prelid1;Etfb;Khk;Akt2;Igf1;Ptges3;Phkg2;Gnas;1810024B03Rik;Comt;Ppp1r2;Gsk3a
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ATP biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;purine ribonucleotide biosynthetic process;purine nucleotide biosynthetic process;ribose phosphate biosynthetic process;purine-containing compound biosynthetic process;ribonucleotide biosynthetic process;nucleoside phosphate biosynthetic process;nucleotide biosynthetic process	Ndufa1;Atp5po;Ndufa6;Ndufc1;Ndufa7;Sdhc;Ndufb11;Ndufb9;Ndufb5;Ndufs2;Ndufb8;Stoml2;Dnajc30;Atp5me;ND3;Sdhb;Atp5pf;Ndufb2;Ndufb3;Antkmt;Ndufs6;Ndufab1;Ndufs5;Ndufb1;Ndufa13;Ndufa12;Atp5mf;Ndufb10;Ndufb4;Ndufs3;Ndufa9;Atp5f1d;Atp5pd;Ndufs8;Atp5f1e;Ndufv2;Ndufa2;Ndufs7;Ndufb7;Ndufa3;Ndufa11;Ndufv3;Ndufa5;Ndufa8;Ndufa10;Atp5mc1;Vcp;Ldhd;Ak3;Trem2;Sphk2;Ppara;Bcl2l1;Uqcc3;Nme1;Impdh1;Nme2;Npr2;Slc25a42;Pank1;Acot7;Mlycd;Dcakd;Ak2;Guk1;Aprt;Pdk2;Gart;Prpsap1;Nos3;Ido2;Naprt;Aspdh;Guca1a;Ada;Nmnat1;Gars1;Nme4;Tgfb1;Cmpk1;Dut;Haao;Ndufs4;Upp1;Ak4;Kars1;Tyms;Slc52a2;Flad1
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufs6b;Ndufa1;Ndufa6;Wdr93;Ndufc1;Ndufa7;Ndufb11;Ndufb9;Ndufb5;Ndufs2;Ndufb8;ND3;Ndufb2;Ndufb3;Ndufs6;Ndufab1;Ndufs5;Ndufb1;Ndufa13;Ndufa12;Ndufb10;Ndufb4;Ndufs3;Ndufa9;Ndufs8;Ndufv2;Ndufa2;Ndufs7;Ndufb7;Ndufa3;Ndufa11;Ndufv3;Ndufa5;Ndufa8;Ndufa10
structural constituent of ribosome	structural constituent of ribosome;ribosome;ribosomal subunit	Mrpl13;mt-Rnr2;Mrpl30;Rpl22l1;Mrpl21;Mrpl47;Rps9;Mrps34;Rsl24d1;Rpl28;Rpl23;Rpl19;mt-Rnr1;Rps27l;Ndufa7;Rps6-ps4;Rps25;Ubb;Mrpl39;Mrps16;Mrps5;Rplp2;Mrps30;Mrpl11;Rps15a;Rpl27a;Rpl34-ps1;Rps5;Rps17;Mrpl55;Rps26;Rps12;Rpl39;Rpl12;Rpl6l;Rpl37rt;Mrpl12;Mrpl28;Rps16;Rps21;Rplp1;Rps24;Rpl15;Rpl34;Rpl36a;Rpl17;Mrpl17;Rpl31;Rps11;Mrps35;Rps28;Rps14;Imp3;Rpl35a;Rpl29;Rps20;Rps8;Uba52;Rpl37;Rpl37a;Rpsa;Rpl26;Rps27rt;Mrpl27;Mrpl36;Mrpl49;Mrpl16;Rpl10;Mrps25;Rps6;Mrpl54;Rpl8;Fau;Rpl36;Mrpl51;Rpl13a;Rps18;Mrpl10;Mrpl24;Mrpl57;Rpl24;Mrps11;Mrps7;Mrpl2;Mrpl14;Mrps21;Rpl13;Mrpl23;Rpl35;Mrpl4;Rps19;Rps10;Rpl18;Rpl38;Mrpl52;Rpl18a;Rps15;Rpl35rt;Mrps15;Rpl21;Rpl14;Rpl36al;Rpl10-ps3;Mrps33;Mterf4;Mrpl58;Mrpl45;Nhp2;Rpl36a-ps1;Mrps28;Rps18-ps5;Mrpl48;Mrpl38;Aurkaip1;Gadd45gip1;Mrps26;Rnf25;Abcf1
mitochondrial ATP synthesis coupled electron transport	mitochondrial ATP synthesis coupled electron transport;aerobic electron transport chain;ATP synthesis coupled electron transport	COX3;Cox4i2;Sdhaf2;Ndufa7;Sdhc;Cox7a1;Cox7c;Ndufb9;Ndufs2;Ndufb8;Uqcrfs1;ND3;Uqcrb;Sdhb;Chchd2;Cox8a;Ndufs6;Uqcr10;Ndufa12;Cycs;Iscu;Cox6a1;Pink1;Afg1l;Ndufs3;Uqcc3;Cox4i1;Park7;Uqcr11;Cox5b;Ndufs8;Ndufv2;Ndufs7;Ndufv3;Uqcrq;Ndufa8;Ndufa10
respiratory electron transport chain	respiratory electron transport chain;electron transport chain	COX2;Immp2l;Ndufs4;Sod2;COX3;Slc37a2;Cox4i2;Sdhaf2;Ndufa7;Sdhc;Cox7a1;Hoxb3os;Cox7c;Ndufb9;Ndufs2;Mybbp1a;Ndufb8;Uqcrfs1;ND3;Uqcrb;Sdhb;Chchd2;Cox8a;Ndufs6;Uqcr10;Ndufa12;Cycs;Iscu;Cox6a1;Pink1;Afg1l;Ndufs3;Gpd1;Uqcc3;Cox4i1;Park7;Uqcr11;Cox5b;Ndufs8;Ndufv2;Ndufs7;Ndufv3;Ndufa5;Uqcrq;Ndufa8;Etfb;Ndufa10;Fdx2;Wdr93;Thap11;Ndufb3
organellar ribosome	organellar ribosome;mitochondrial ribosome	Mrpl13;mt-Rnr2;Mrpl30;Mrpl21;Mrpl47;Mrps34;Mrps26;mt-Rnr1;Ndufa7;Mrpl39;Mrps16;Mrps5;Mrps30;Mrpl11;Mrpl55;Mrpl12;Mrpl28;Mrps33;Mterf4;Mrpl58;Mrpl45;Mrpl17;Mrps35;Mrpl27;Mrpl36;Mrpl49;Mrpl16;Mrps25;Mrpl54;Mrpl51;Mrpl10;Mrps28;Mrpl24;Mrpl57;Mrps11;Mrps7;Mrpl2;Mrpl14;Mrpl48;Mrps21;Mrpl23;Mrpl4;Mrpl52;Mrpl38;Aurkaip1;Mrps15;Gadd45gip1
rRNA metabolic process	rRNA metabolic process;rRNA processing;ncRNA processing	Smarcb1;Polr1a;Ybey;Dicer1;Imp4;Mars1;Cdkn2a;Exosc10;Rps6-ps4;Mrm2;Frg1;Rps25;Nifk;Brix1;Bysl;Pelp1;Lyar;Tbl3;Sbds;Exosc5;Rps17;Fcf1;Wdr46;Polr1f;Lsm6;Nol6;Pop5;Utp11;Ppan;Nop53;Rps16;Drosha;Rps21;Rps24;Tsr3;Rrp9;Nop9;Mterf4;Ercc3;Utp3;Nhp2;Exosc7;Nop14;Wdr74;Emg1;Mrm3;Rrp7a;Rps28;Imp3;Rpl35a;Ebna1bp2;Rbfa;Rps8;Rpp40;Pop4;Rpl26;Rps27rt;Trmt112;Chd7;Polr2e;Rps6;Pin4;Trir;Pih1d1;Rrp1;Ddx49;Tcof1;Ubtf;Rpl35;Rps19;Sart1;Pa2g4;Rps15;Exosc4;Gtf2h5;Ncl;Rpl35rt;Wdr18;Polr1g;Rpl14;Elp2;Hsd17b10;Dus1l;Fars2;Tarbp2;Ptcd1;Tsn;Tprkb;Qng1;Wdr6;Zc3h10;Rpp21;Mettl1;Rpp25l;Aars1;Sars1
