representative	grouped_terms	genes
fatty acid catabolic process	fatty acid catabolic process;monocarboxylic acid catabolic process	Abcb11;Cnr1;Echdc1;Crat;Etfbkmt;Echs1;Sesn2;Mlycd;Hadh;Acot2;Acadvl;Eci1;Pck1;Acoxl;Nudt19;Cyp4f15;Acad10;Acaa2;Ces1f;Acot8;Ilvbl;Acat1;Adtrp;Lonp2;Irs1;Etfa;Fabp1;Acox2;Irs2;Acot7;Decr1;Etfdh;Pex5;Hadha;Pex13;Obp2a;Ces1d;Acaa1a;Hsd17b4;Acadm;Scp2;Crot;Acad11;Nudt7;Eci2;Acadl;Hao1;Lpin2;Decr2;Ehhadh;Acox1;Auh;Hadhb;Phyh;Cpt2;Acaa1b;Cpt1a;Abcd3;Slc27a2;Adipoq;Pex2;Ldhd;Arsb;Hoga1;Slc16a1;Ids;Sult2a8;Pon3;Sord;Cyp26a1
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process	Cnr1;Hibadh;Arsb;Echdc1;Crat;Hmgcll1;Got2;Etfbkmt;Otc;Cdo1;Echs1;Sesn2;Mlycd;Hadh;Acot2;Acadvl;Hoga1;Eci1;Pck1;Acoxl;Acmsd;Acsf3;Nudt19;Blmh;Cyp4f15;Acad10;Aasdhppt;Acaa2;Ces1f;Aldh4a1;Hibch;Amt;Aldh5a1;Slc16a1;Pah;Ddah1;Acot8;Ilvbl;Acat1;Adtrp;Lonp2;Irs1;Etfa;Fabp1;Mccc2;Oat;Dbt;Acox2;Kmo;Nos1;Irs2;Tdo2;Acot7;Decr1;Etfdh;Abat;Pex5;Hadha;Pex13;Aass;Obp2a;Ahcyl;Dld;Ces1d;Acaa1a;Nos2;Ids;Pon1;Hsd17b4;Acadm;Scp2;Sult2a8;Crot;Acad11;Adhfe1;Aldh6a1;Nudt7;Acad8;Eci2;Acadl;Kynu;Pon3;Sord;Hao1;Lpin2;Decr2;Acadsb;Ehhadh;Acox1;Auh;Hadhb;Phyh;Cpt2;Acaa1b;Ppm1k;Cyp26a1;Cpt1a;Csad;Abcd3;Slc27a2;Adipoq
leukocyte chemotaxis	leukocyte chemotaxis;cell chemotaxis	Prex1;Syk;Slamf9;Coro1a;Ffar2;Cxcl13;Il23a;Aif1;Cxcl1;Gpsm3;Trpm2;Rac2;Fpr2;Vav3;Il34;Spi1;Vegfc;Nckap1l;Cmklr1;Csf3r;Lgals3;Myo9b;Ptk2;Gas6;Stap1;Cxcl16;Cxcl2;Fcer1g;Ppbp;Pf4;Csf1r;Ccl7;Vav1;Rin3;Cxcl11;Nup85;Sell;Dapk2;Pdgfb;Csf1;Lbp;C5ar2;Cnr2;Adam17;Mst1;Padi2;Zfp580;Pgf;Ano6;Hc;Ptpro;Flt1;Plec;Pikfyve;Arhgef5;Ccl21b;Cxcl5;C3ar1;Il12a;Gpr183;Xcl1;Ptprj;Ccl8;Adam8;Stk39;Lyn;Ccl12;Itgam;Ctsg;S100a8;Itgb2;Mapk3;Thbs1;Il17rc;Gpr18;Ccl21a;Mdk;Ripor2;Slamf8;Ifng;S100a9;Il16;Pla2g7;Hsd3b7;Lyst;Vegfa;Rab13;Arrb2;Notch1;Bin2;Rhog;Cxcr6;Prkcd;Abcc1;Ccl27a;Arhgef16;Rac3;Elmo2;Prkcq;Prkd2;Egr3;Plekhg5
lymphocyte proliferation	lymphocyte proliferation;leukocyte proliferation;mononuclear cell proliferation	Syk;Tyk2;Ptprc;Coro1a;Cd55;P2rx7;Bax;Btla;Il23a;Ccdc88b;Cd44;Aif1;Ptpn6;Lst1;Cd37;Rac2;H2-M5;Il10;Vav3;Tcf3;Itgal;Nckap1l;Mzb1;Slc11a1;Icosl;Siglecg;Lgals3;Tnfrsf13c;Crip3;Cd22;Sash3;Slfn2;Msn;Myc;Jak3;Pkn1;H2-T10;Dock2;Csf1r;Cd79a;Ikzf3;Tnfrsf4;Slfn1;Il15;Sos2;Cd19;Bcl2;Il12rb1;Cd55b;Ripk3;Shb;Cd27;Rasal3;Nfkbiz;Prkcd;Tyrobp;Inpp5d;Znhit1;Cr2;Abl1;Scrib;Tnfsf9;Psmb10;Ebi3;Pdcd1lg2;Lrrc32;Ptpn22;Slamf6;Vsir;Spta1;Il7;Dlg5;Il12a;Gpr183;Xcl1;Zbtb32;Elf4;Zfp335;Plcl2;Lyn;Itgam;Cdkn1a;Irf1;Itgb2;Tspan32;Laptm5;Prkcq;Lilrb4a;Kitl;Gm36723;H2-T22;Ccnd3;Hells;Flt3l;Ripor2;Tsc2;Tnfrsf13b;Card11;Cd274;Zbtb7b;Il2ra;Ctps1;H2-Q4;Cd38;Washc1;Ifng;Ticam1;Sox11;Cd80;Stat5a;Btnl2;Slc4a1;Mapk8ip1;Tgfb1;Cd40lg;H2-DMb2;Carmil2;Tcirg1;Il34;Ptk2;Csf1;Csf2ra;Cnn2;Trem2;Ccl12;Mapk3;Ocstamp;Stat6
taxis	taxis;chemotaxis	Prex1;Syk;Slamf9;Coro1a;Ffar2;Cxcl13;Il23a;Aif1;Cxcl1;Gpsm3;Lsp1;Trpm2;Rac2;Fpr2;Rab13;Vav3;Arrb2;Il34;Sema6b;Spi1;Vegfc;Nckap1l;Cmklr1;Csf3r;Notch1;Lgals3;Myo9b;Ptk2;Gas6;Stap1;Bin2;Cxcl16;Cxcl2;Fcer1g;Dock2;Ppbp;Pf4;Adgra2;Csf1r;Ccl7;Vav1;Pik3cd;Rhog;Rin3;Cxcl11;Efnb2;Nup85;Pik3cg;Sell;Dapk2;Pdgfb;Csf1;Slit1;Lbp;Agrn;C5ar2;Cxcr6;Sema3f;Cnr2;Adam17;Mst1;Padi2;Prkcd;Zfp580;Pgf;Scrib;Sema6a;Ano6;Abcc1;Ccl27a;Plxna3;Rtn4rl1;Arhgef16;Sema6d;Hc;Ptpro;Flt1;Trem2;Plec;Pikfyve;Arhgef5;Ccl21b;Cxcl5;Cmtm3;C3ar1;Rac3;Fpr1;Il12a;Gpr183;Xcl1;Ptprj;Ccl8;Adam8;Stk39;Lyn;Ccl12;Itgam;Plgrkt;Ctsg;S100a8;Itgb2;Creb1;Mapk3;Elmo2;Prkcq;Thbs1;Il17rc;Gpr18;Ntrk3;Ccl21a;Mdk;Ripor2;Tsc2;Slamf8;Angpt2;Prkd2;Egr3;Plekhg5;Sema4a;Ifng;Ecscr;S100a9;Il16;Lrp1;Pla2g7;Hsd3b7;Cmtm7;Tgfb1;Lyst;Vegfa;Sema4g;Sema4d;Mycbp2
GTPase regulator activity	GTPase regulator activity;nucleoside-triphosphatase regulator activity	Prex1;Dock10;Rasa4;Arhgap4;Thy1;Ocrl;Plekhg2;Gpsm3;Sipa1l2;Rgs3;Cavin4;Tagap;Arhgap9;Arhgef1;Tagap1;Vav3;Fgd5;Arhgap39;Nckap1l;Arhgef25;Asap3;Dennd1c;Racgap1;Tbc1d22b;Myo9b;Prr5;Rasgrp4;Adap1;Syde2;Rasgrp2;Arhgef18;Ccdc88c;Sbf1;Arhgap30;Dock2;Dennd3;Rgl3;Vav1;Arhgef2;Myo9a;Cyth4;Sipa1;Ranbp3;Als2cl;Rin3;Sos2;Lamtor3;Mtss2;Dock6;Dgki;Tbc1d4;Llgl1;Git2;Ralgapb;Arhgap15;Rtkn;Arap3;Srgap2;Rinl;Agap2;Tbc1d10c;Rasal3;Tbc1d2b;Iqgap3;Plcg1;Krit1;Arhgef6;Gmip;Rangrf;Ralbp1;Arhgap11a;Mon1a;Abr;Iqsec1;Arhgap45;Gapvd1;Arhgef17;Rasgrf2;Fgd2;Dock7;Gnb5;Arhgef15;Arhgap10;Arhgef16;Eps8l1;Acap3;Rgs12;Arhgef39;Bcr;Arhgef19;Arhgap25;Rgs2;Arhgef5;Iqgap1;Arhgap17;Tbc1d24;Mcf2;Dennd4b;Arhgdib;Farp1;Arhgap19;Arfgap3;Itsn2;Evi5l;Lrrk2;Sirpa;Srgap1;Acap1;Slc38a9;Gripap1;Tbc1d5;Gpsm1;Psd4;Mcf2l;Lamtor4;Gdi1;Itsn1;Rap1gap;Acap2;Rgs10;Arhgef7;Dock5;Rgs14;Rasa3;Sh3bp5l;Rgl1;Fam13b;Tsc2;Rgs11;Fgd1;Agap3;Tbc1d14;Ankrd27;Pgam5;Sgsm1;Syde1;Cdc42ep2;Plekhg5;Kalrn;Arfgef2;Tbc1d25;Vps9d1;Rapgefl1;Rcc1l;Arhgap27;Sgsm2;Dennd6b;Arhgap21;Gipc1;Mycbp2;Ccdc88a;Arhgap31;Tbc1d10a;Cyth2;Rgl2
immune response-regulating cell surface receptor signaling pathway	immune response-regulating cell surface receptor signaling pathway;immune response-activating cell surface receptor signaling pathway	Syk;Ptprc;Rnf31;Fyb1;Ffar2;Thy1;Bax;Cd79b;Btla;Fcrl5;Themis2;Ptpn6;Fpr2;Tlr1;Vav3;Ifi35;Bcl2a1d;Nckap1l;Cmklr1;Icosl;Cd14;Lgals3;Cyba;Clec12b;Cd22;Stap1;Ms4a1;Fcer1g;Oas1g;Nr1h3;Acod1;Oas1b;Lat2;Prkcb;Cd79a;Tlr6;Cd19;Lax1;Bcl2;Rbck1;Lbp;C5ar2;Cd160;Nfam1;Shb;Plcg1;Nfkbiz;Tyrobp;Abl1;Lcp2;Klhl6;Btnl12;Pram1;Nfkb1;Ptpn22;Blk;Cacnb3;Fyb2;Trem2;Cacnb4;Cmtm3;C3ar1;Skint3;Klrc1;Plcg2;Fpr1;Itk;Ptprj;Oas1a;Irf3;Plcl2;Tespa1;Themis;Lyn;Itgam;Rela;Myo1g;Rab29;Prkch;Laptm5;Lime1;Lilrb4a;Hras;Blnk;Gcsam;Card11;Dgkz;Prkd2;H2-Q4;Cd38;Ifng;Ticam1;Zfp683;Btnl2;Bcl10;Tnip3;Txk;Skap1;Carmil2;Scimp;Ly96;Lck;Lpxn;Tnip2;Ripk2;Dab2ip;Nfatc2;Wnk1;Usp12;Pik3r1;Csk;Rftn1;Tlr2;Map3k7;Klrd1;Stk11;Nfkbid;Klrc3;Btnl9;Ctla4;Foxp3;Malt1;Plekha1;Pvrig
immune response-regulating signaling pathway	immune response-regulating signaling pathway;immune response-activating signaling pathway	Irak3;Syk;Ptprc;Rnf31;Unc93b1;Fyb1;Ffar2;Thy1;Bax;Cd79b;Btla;Fcrl5;Themis2;Nod1;Traf3ip3;Ptpn6;Cd36;Fpr2;Tlr1;Vav3;Ifi35;Arrb2;Bcl2a1d;Nckap1l;Cmklr1;Ifi207;Icosl;Cd14;Lgals3;Cyba;Inava;Clec12b;Cd22;Stap1;Trim3;Ms4a1;Fcer1g;Prkdc;Oas1g;Nr1h3;Acod1;Oas1b;Lat2;Prkcb;Cd79a;Tlr6;Mndal;Cd19;Lax1;Bcl2;Nagk;Ifi213;Ifi206;Rbck1;Rnf135;Ifi203-ps;Ifi203;Lbp;Akt1;C5ar2;Cd160;Nfam1;Shb;Mapkapk3;Rigi;Plcg1;Nfkbiz;Sec14l1;Mefv;Tyrobp;Slc15a3;Abl1;Lcp2;Klhl6;Ifi208;Cactin;Nlrp1b;Btnl12;Pram1;Nfkb1;Dhx33;Zdhhc18;Ifi209;Aim2;Ptpn22;Blk;Cacnb3;Casp1;Fyb2;Trim30a;Trem2;Gpr108;Cacnb4;Cmtm3;C3ar1;Irf7;Skint3;Klrc1;Plcg2;Fpr1;Cgas;Itk;Ptprj;Oas1a;Ifi214;Zdhhc12;Treml4;Irf3;Plcl2;Tespa1;Themis;Lyn;Aurkb;Itgam;Gramd4;Rela;Irf1;S100a8;Myo1g;Rab29;Prkch;Laptm5;Gm12250;Lime1;Nlrp6;Nlrc3;Lilrb4a;Tnip1;Banf1;Hras;Oas3;Blnk;Gcsam;Flot1;Card11;Cd274;Trim11;Dgkz;Prkd2;H2-Q4;Cd38;Ifng;Ticam1;S100a9;Zfp683;Btnl2;Bcl10;Tnip3;Otud4;Esr1;Alpk1;Txk;Skap1;Carmil2;Scimp;Ly96;Lck;Havcr2;Tlr11;Oasl1;Lpxn;Tnip2;Pycard;Ripk2;Dab2ip;Nfatc2;Wnk1;Tarbp2;Usp12;Pik3r1;Csk;Rftn1;Ifi204;Ifi211;Tlr2;Tasl;Mavs;Map3k7;Klrd1;Stk11;Nfkbid;Klrc3
peroxisome	peroxisome;microbody	Nudt19;Pex12;Agps;Isoc1;Mul1;Pex16;Cav1;Idi1-ps1;Idh1;Acot8;Pex11b;Atad1;Lonp2;Nbr1;Fabp1;Pex19;Mtarc2;Dhrs4;Acox2;Ptgr3;Uox;Hsdl2;Arf1;Nudt12;Pex5;Pex14;Mgst1;Aldh3a2;Acsl4;Pex11a;Pex13;Vwa8;Acaa1a;Nos2;Pex3;Hsd17b4;Scp2;Tmem135;Crot;Acad11;Hspd1;Nudt7;Eci2;Cat;Hao1;Decr2;Ehhadh;Pxmp4;Acox1;Acsl6;Ephx2;Phyh;Acaa1b;Amacr;Pnpla8;Acbd5;Abcd3;Acsl1;Slc27a2
positive regulation of cell activation	positive regulation of cell activation;positive regulation of lymphocyte activation;positive regulation of leukocyte activation	Syk;Tyk2;Ptprc;Coro1a;Cd55;Kmt5c;Klhl25;Thy1;Pms2;Il23a;Ccdc88b;Aif1;H2-M5;Il10;Vav3;Tcf3;Itgal;Spi1;Nckap1l;Lilra5;H2-Ob;Icosl;Tnfrsf13c;Cd5;Sash3;Gas6;Actl6a;Stap1;Runx3;Mmp14;Prkdc;Hmces;Jak3;H2-T10;Csf1r;Acta2;Socs1;Tlr6;Tnfrsf4;Il15;Sh3kbp1;Bcl2;Efnb2;Il12rb1;Cd55b;Arid1a;Sirpb1c;Pdgfb;Lbp;Cd160;Shb;Cd27;Rasal3;Nfkbiz;Tyrobp;Inpp5d;Ambra1;Abl1;Tnfsf9;Flna;Pagr1a;Ap3d1;Gimap3;Pdcd1lg2;Tbx21;Ptpn22;Vsir;Spta1;Trem2;Gimap5;Zbtb16;Sirpb1b;Il7;Lrrk2;Trp53bp1;Sirpa;Il12a;Gpr183;Xcl1;Ptprj;Gm5150;Adam8;Itpkb;Il1rl1;Zfp335;Tespa1;Pear1;Myb;Cdkn1a;Irf1;Socs5;Smarcd2;Prkcq;Thbs1;Lilrb4a;Kitl;Shld2;H2-T22;Ccl21a;Mdk;Flt3l;Stat6;Card11;Cd274;Nsd2;Zbtb7b;Il2ra;Rara;Egr3;Gp1bb;H2-Q4;Cd38;Smarcd3;Smarca4;Ifng;Mmp8;Ticam1;Cd80;Il16;Ephb4;Stat5a;Pla2g4a;Btnl2;Bcl10;Slc4a1;Tgfb1;Lyst;Cd40lg;H2-DMb2;Carmil2;Lck;Havcr2;H2-DMb1;Smarcb1;Rps6ka1;Il4i1b;Tnip2;Pycard;Zmiz1;Ripk2;Nfatc2;Sox13;Lgals1;Actb;Pcid2
