representative	grouped_terms	genes
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;aerobic electron transport chain;respiratory electron transport chain;electron transport chain	Uqcrfs1;Ndufa8;Cox7a2l;Iscu;Cox6a2;Pink1;Ndufv2;Cox7b;Sdhd;Cycs;Cox4i1;Ndufaf1;Ndufa7;Uqcr10;Uqcrc1;Mtch2;Uqcrc2;Sdha;Coq7;Coa6;Uqcrh;Ndufb8;Sdhc;Cox6a1;Park7;Dnajc15;Ndufc2;Ndufb9;Ndufs6;Cox5a;Cox8a;Ndufb6;Chchd2;Cox7a2;Ndufb3;Etfdh;Etfrf1;Ndufs4;Sod2;Fdx1
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	Cox6a2;Ndufb3;Ndufv2;Ndufc1;Timm29;Cox7b;Apool;Sdhd;Cox4i1;Ndufa7;Atp5f1b;Timm10;Ndufa9;Ndufs4;Ndufs5;Atp5mk;Uqcr10;Uqcrc1;Uqcrc2;Sdha;Atp5f1a;Timm22;Timm17b;Dmac1;Uqcrh;Ndufb8;Sdhc;Atp5f1d;Cox6a1;Atp5mf;Ndufa1;Ndufb5;Apoo;Smdt1;Dnajc15;Ndufc2;Grpel1;Ndufb9;Atp5mj;Ndufs6;Cox5a;Cox8a;Atp5f1c;Ndufb6;Atp5pb;Micos13;Atp5mc3;Atp5po;Ndufa4;Cox7a2;Mtx2;Hspd1;Tomm6;Tomm22;Coa6;Pyurf;Vdac3;Tomm7;Slc25a5
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	Ndufv1;Dnajc30;Acadvl;Aifm1;Coq5;Chchd3;Cox6b1;Gcat;Chchd1;Timm8a1;Uqcr11;Slc3a1;Mrpl28;Timm17a;Rab5if;Slc25a30;Hmgcl;Mtfp1;Mrpl43;Cyc1;Cpox;Mrps18a;Sco1;Mrps7;Maob;Stoml2;Mrpl45;Mrpl44;Atp5pf;Cox6c;Sdhb;Atp5me;Clpx;Mrpl40;Mrps2;Bok;Mrpl21;Vdac1;Ndufb11;Eci1;Cps1;Mrpl12;Vdac2;Mrps25;Glud1;Mrpl27;Mrpl42;Micos10;Hadh;Letm1;Dnajc19;Mrpl11;Uqcrfs1;Mrpl57;Ndufa8;Ndufb2;Acat1;Sqor;Mpc1;Mrpl22;Nipsnap1;Otc;Mrps33;Mrps22;Mrps16;Mrps24;Cox7a2l;Pdk4;Mrpl32;Maip1;Pisd;Abcd3;Dhrs1;Slc25a15;Mrpl46;Ndufb10;Cyb5r3;Mrpl17;Yme1l1;Mrps10;Cyb5b;Opa1;Slc25a39;Mcur1;Cox6a2;Ndufb3;Mtarc2;Pink1;Etfdh;Ndufv2;Mrps31;Mrps30;Hspd1;Ndufc1;Mrpl36;Timm29;Cox7b;Tmem14c;Mrps18b;Apool;Mrpl30;Sdhd;Cox4i1;Tomm22;Mpc2;Ndufa7;Atp5f1b;Timm10;Ndufa9;Mrpl13;Ndufs4;Kmo;Tmem70;Mrps14;Ociad2;Mdh2;Ndufs5;Atp5mk;Uqcr10;Uqcrc1;Slc25a35;Gstk1;Tst;Timm8b;Mtch2;Uqcrc2;Sdha;Coq7;Atp5f1a;Mrpl1;Timm22;Timm17b;Dmac1;Uqcrh;Mrpl50;Vdac3;Ndufb8;Mrps34;Sdhc;Tufm;Mrpl16;Higd1a;Atp5f1d;Alas2;Cox6a1;Atp5mf;Ndufa1;Ndufb5;Apoo;Smdt1;Dnajc15;Coa3;Sod2;Tmem242;Fdx1;Ndufc2;Grpel1;Ndufb9;Tmem177;Got2;Atp5mj;Acaa2;Slc25a5;Ndufs6;Cox5a;Cox8a;Mrpl34;Hsd17b10;Mgst1;Ghitm;Atp5f1c;Ndufb6;Mrpl35;Suclg1;Atp5pb;Micos13;Atp5mc3;Atp5po;Mrpl20;Mrpl49;Higd2a;Ndufa4;Mpst;Cox7a2
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	Stoml2;Fh1;Atp5pf;Sucla2;Sdhb;Atp5me;Mtfr1;Ndufb11;Uqcrfs1;Ndufa8;1700066M21Rik;Ndufb2;Cox7a2l;Iscu;Pdha1;Ndufb10;Cox6a2;Ndufb3;Pink1;Ndufv2;Ndufc1;Cox7b;Sdhd;Cycs;Cox4i1;Ndufaf1;Ndufa7;Atp5f1b;Ndufa9;Ndufs4;Mdh2;Ndufs5;Uqcr10;Uqcrc1;Mtch2;Uqcrc2;Sdha;Coq7;Atp5f1a;Coa6;Uqcrh;Ndufb8;Sdhc;Ide;Atp5f1d;Cox6a1;Atp5mf;Ndufa1;Park7;Ndufb5;Dnajc15;Ndufc2;Cat;Ndufb9;Ndufs6;Cox5a;Cox8a;Atp5f1c;Ndufb6;Suclg1;Atp5pb;Chchd2;Atp5po;Cox7a2;Prelid1;Prkaca;Cisd1;Etfrf1;Sdhaf4;Sod2;Dld;Idh3b;Uqcr11;Etfa;Hmgcl;Cyc1;Cs;Sco1;Acat1;Crot;Etfdh;Fdx1;Ndufa4
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ATP biosynthetic process;nucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ATP metabolic process;purine nucleoside triphosphate metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;nucleoside triphosphate metabolic process	Stoml2;Atp5pf;Sdhb;Atp5me;Ndufb11;Ndufa8;Ndufb2;Ndufb10;Ndufb3;Ndufv2;Ndufc1;Sdhd;Ndufa7;Atp5f1b;Ndufa9;Ndufs4;Ndufs5;Sdha;Atp5f1a;Ndufb8;Sdhc;Atp5f1d;Atp5mf;Ndufa1;Ndufb5;Ndufc2;Ndufb9;Ndufs6;Atp5f1c;Ndufb6;Atp5pb;Atp5po;Atp5mc3;Ak3;Nudt5;Clpx;Prkaca;Mtch2;Tspo;Opa1;Guk1
respiratory chain complex	respiratory chain complex;respirasome	Uqcrfs1;Ndufa8;Ndufb2;Cox7a2l;Ndufb10;Cox6a2;Ndufb3;Ndufv2;Ndufc1;Cox7b;Sdhd;Cox4i1;Ndufa7;Ndufa9;Ndufs4;Ndufs5;Uqcr10;Uqcrc1;Uqcrc2;Sdha;Coa6;Dmac1;Uqcrh;Ndufb8;Sdhc;Cox6a1;Ndufa1;Ndufb5;Ndufc2;Ndufb9;Ndufs6;Cox5a;Cox8a;Ndufb6;Ndufa4;Cox7a2;1700066M21Rik;Higd1a
purine ribonucleotide biosynthetic process	purine ribonucleotide biosynthetic process;nucleoside phosphate biosynthetic process;nucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;carbohydrate derivative biosynthetic process;organophosphate biosynthetic process	Stoml2;Atp5pf;Sdhb;Atp5me;Vdac1;Ndufb11;Ndufa8;Ndufb2;Acat1;Mpc1;Acsl1;Pdk4;Pdha1;Ndufb10;Coasy;Ndufb3;Ndufv2;Ndufc1;Sdhd;Mpc2;Ndufa7;Atp5f1b;Ndufa9;Ndufs4;Ndufs5;Guk1;Sdha;Atp5f1a;Ndufb8;Ak3;Sdhc;Atp5f1d;Mmut;Atp5mf;Ndufa1;Ndufb5;Ndufc2;Ndufb9;Ndufs6;Atp5f1c;Ndufb6;Atp5pb;Atp5mc3;Atp5po;Nadk2;Gars1;Kars1;Kmo;Mdh2;Golph3;Pyurf;Ptdss1;Pnpo;Cps1;Pisd;Scp2;Chpt1
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufb11;Ndufa8;Ndufb2;Ndufb10;Ndufb3;Ndufv2;Ndufc1;Ndufa7;Ndufa9;Ndufs4;Ndufs5;Dmac1;Ndufb8;Ndufa1;Ndufb5;Ndufc2;Ndufb9;Ndufs6;Ndufb6;Ndufa4
purine ribonucleotide metabolic process	purine ribonucleotide metabolic process;ribonucleotide metabolic process;ribose phosphate metabolic process;purine nucleotide metabolic process;nucleoside phosphate metabolic process;nucleotide metabolic process;nucleobase-containing small molecule metabolic process;organophosphate metabolic process;purine-containing compound metabolic process;carbohydrate derivative metabolic process	Nudt5;Stoml2;Atp5pf;Sucla2;Sdhb;Atp5me;Clpx;Glyat;Vdac1;Ndufb11;Ndufa8;Ndufb2;Acat1;Mpc1;Crot;Acsl1;Pdk4;Pdha1;Prkaca;Ndufb10;Coasy;Opa1;Ndufb3;Ndufv2;Ndufc1;Sdhd;Ehhadh;Mpc2;Ndufa7;Atp5f1b;Ndufa9;Ndufs4;Ndufs5;Guk1;Mtch2;Sdha;Hsd17b4;Atp5f1a;Ndufb8;Ak3;Sdhc;Tspo;Atp5f1d;Mmut;Atp5mf;Ndufa1;Ndufb5;Ndufc2;Ndufb9;Hint1;Acaa2;Ndufs6;Atp5f1c;Ndufb6;Acadsb;Suclg1;Atp5pb;Atp5mc3;Atp5po;Cs;Txnrd1;Nadk2;Cbr2;Kmo;Mdh2;Fdx1;Prdx5;Gars1;Naxe;Kars1;Park7;Paics;Dld;Idh3b;Dut;Hmgcl;Nudt1;Cps1;Aldh6a1;Idi1;Ptdss1;Pnpo;Dnajc19;Pisd;Pnpla8;Pyurf;Scp2;Chpt1;Prdx6;Dbi;Cbr4;Golph3;Aldh1a7
mitochondrial proton-transporting ATP synthase complex	mitochondrial proton-transporting ATP synthase complex;proton-transporting two-sector ATPase complex;proton-transporting ATP synthase complex;ATPase complex	Atp5f1b;Atp5mk;Atp5f1a;Atp5f1d;Atp5mf;Atp5mj;Atp5f1c;Atp5pb;Atp5mc3;Atp5po
