representative	grouped_terms	genes
L-amino acid catabolic process	L-amino acid catabolic process;proteinogenic amino acid catabolic process	Qdpr;Gcsh;Aldh4a1;Gcat;Oat;Glud1;Gstz1;Gls2;Got2;Agxt;Gldc;Ppat
dendrite	dendrite;dendritic tree	Pick1;Adcy10;Cdk5;Cpeb3;Pde2a;Mapk8ip3;Comt;Septin4
modulation of chemical synaptic transmission	modulation of chemical synaptic transmission;regulation of trans-synaptic signaling	Prkn;Prepl;Star;Pick1;Cdk5;Rhot1;Cpeb3;Bcl2l1;Dmpk
brain development	brain development;head development;central nervous system development	Immp2l;Uqcrq;Cdk5;Ncor1;Mapk8ip3;Comt;Bax;Septin4;Htra2;Aldh3a2
GTP binding	GTP binding;guanyl nucleotide binding;guanyl ribonucleotide binding	Rhot2;Gtpbp10;Mmaa;Gtpbp6;Rhot1;Arf5;Rab24;Pck2;Septin4;Mfn1;Eral1;Pde2a
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	Nudt19;Abat;Qdpr;Acsf3;Aldh1l1;Mccc2;Gcsh;Aldh4a1;Gcat;Echs1;Hmgcl;Gcdh;Abcd3;Acadvl;Aldh1l2;Oat;Ehhadh;Dbi;Glud1;Gstz1;Acads;Gls2;Got2;Etfdh;Agxt;Dcxr;Gldc;Acaa2;Acadsb;Ppat;Dld;Sardh;Echdc1;Decr1;Acad8;Ldhd;Acad12;Acot7;Acad11;Aldh5a1;Kmo;Abcd2;Hadh;Bad;Nudt1;Aldh1a7;Glyctk
cell differentiation	cell differentiation;cellular developmental process	Ldlrad4;Strc;Slc25a38;Pank2;Mettl8;Fkbp8;Hnrnpu;Dhtkd1;Eng;Nrdc;Nr2c2;Fxn;Wars2;Bloc1s1;Prkn;Bbof1;Dguok;Pdp2;Nbr1;Star;Gpsm1;Rbm10;Pick1;Afg3l2;Acp6;Uqcrq;Adcy10;Uqcc2;Alas1;Slc25a31;Camk1;Syvn1;Cdk5;Alas2;Hscb;Rdh13;Pdilt;Spire1;Ncor1;Cpeb3;Tmem143;Pde2a;Mapk8ip3;Azi2;Bcl2l1;Dmpk;Ucp2;Gpr137;Casp8;Pck2;Ggnbp1;Bax;Septin4;Nr1i3;Mfn1;Htra2;Tafazzin
signaling	signaling;cell communication	Bik;Gnb4;Coa8;Fkbp8;Bcl2l2;Eng;Atp5pf;Armc10;Nr2c2;Fxn;Bcl2l11;Prkn;Prepl;Cep89;Inpp5e;Fhit;Slc25a33;Nbr1;Star;Sirt4;S2bpcox16;Gpsm1;Rffl;Acsl1;Ifi27l2a;Pick1;Dna2;Rhot2;Bid;Them4;Pdk2;Adcy10;Ric8a;Uqcc2;Slc25a31;Camk1;Syvn1;Cdk5;Map3k15;Rhot1;Ncor1;Stab1;Cpeb3;Frs3;Pde2a;Mcu;Plscr3;Mapk8ip3;Chchd10;Azi2;Bcl2l1;Dmpk;Ucp2;Gpr137;Dedd;Casp8;Pck2;Comt;Cdc42bpa;Bax;Septin4;Wdfy1;Htra2;Tymp
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	Rab5if;Mrps18b;Tufm;Coq4;Slc25a15;Ckmt1;Cox7a2l;Ndufv1;Micos13;Gstk1;Sfxn1;Cyb5b;Sdhd;Mrps18c;Atp5f1b;Mrpl19;Mrps12;Mrpl43;Slc3a1;Mrpl46;Suclg1;Micu2;Tmem14c;Chchd6;Atp5f1a;Chchd1;Stoml2;Mrps9;Samm50;Mrpl12;Tmem242;Hspd1;Ndufs2;Dmac1;Mrpl16;Uqcrc1;Mtfp1;Gcat;Mrpl45;Timm29;Mrpl35;Timm10;Phb2;Sdha;Ndufb9;Hmgcl;Slc25a5;Mrpl9;Mrps2;Pisd;Mrpl44;Ndufs6;Gcdh;Abcd3;Nipsnap1;Acadvl;Mrps18a;Mrps16;Cyc1;Slc25a43;Slc25a14;Cox5a;Atp5mc3;Mrps23;Mdh2;Mrpl20;Gpx4;Timm17a;Coq7;Slc25a1;Tmem70;Glud1;Vdac2;Slc25a39;Mrpl34;Mrps22;Higd1a;Sqor;Got2;Vdac3;Timm22;Sco1;Mpv17l2;Dele1;Slc25a11;Cox8b;Mpst;Etfdh;Mrps24;Smim20;Abcb8;Afg3l1;Vdac1;Coa3;Dhrs1;Pgam5;Ppif;Ghitm;Slc25a48;Ndufa4;Mpv17;Uqcrh;Sfxn2;Acaa2;Atp5pb;Mrpl40;Cox7a2;Timm13
generation of neurons	generation of neurons;neuron development	Nrdc;Fxn;Bloc1s1;Prkn;Dguok;Afg3l2;Uqcrq;Adcy10;Camk1;Cdk5;Rdh13;Spire1;Cpeb3;Mapk8ip3;Bax;Septin4;Mfn1;Htra2
regulation of cell communication	regulation of cell communication;regulation of signaling	Bcl2l2;Eng;Tymp;Armc10;Fxn;Bcl2l11;Prkn;Prepl;Inpp5e;Nbr1;Star;Sirt4;S2bpcox16;Gpsm1;Rffl;Pick1;Bid;Pdk2;Adcy10;Ric8a;Uqcc2;Slc25a31;Syvn1;Cdk5;Rhot1;Ncor1;Cpeb3;Pde2a;Mcu;Mapk8ip3;Azi2;Bcl2l1;Dmpk;Ucp2;Gpr137;Casp8;Pck2;Cdc42bpa;Bax;Septin4;Wdfy1;Htra2
