"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6853.10007215664	0.776442397652168	-0.365049196294198	0.154137352038643	-2.36833701543463	0.0178682511951814	0.0444206599472514	"RIKEN cDNA 0610005C13 gene"
"0610009E02Rik"	89.7065105050646	1.65228951000506	0.724466494296399	0.659807675146012	1.09799646410006	0.272206033271877	0.406338909488499	"RIKEN cDNA 0610009E02 gene"
"0610009L18Rik"	36.9340042414072	0.9690112192923	-0.0454147255074178	0.692298126602299	-0.0655999543582571	0.947696325453658	0.973924715521462	"RIKEN cDNA 0610009L18 gene"
"0610010K14Rik"	702.840055946244	0.507675243249386	-0.978022186035465	0.182640882313781	-5.35489192586796	8.56075697573777e-08	8.49799232359645e-07	"RIKEN cDNA 0610010K14 gene"
"0610025J13Rik"	3.53570497851549	0.393827600938821	-1.34436387053929	2.4810321014233	-0.541856701397803	0.587917226722194	0.712842921928226	"RIKEN cDNA 0610025J13 gene"
"0610030E20Rik"	1530.22254870433	1.02796143420605	0.0397861402872794	0.173775274120365	0.228951676172995	0.818906475328404	0.888455441536903	"RIKEN cDNA 0610030E20 gene"
"0610031O16Rik"	5559.43193264053	1.1264994714406	0.171846636653501	0.259487287105138	0.662254550389101	0.507808099232932	0.643792891205366	"RIKEN cDNA 0610031O16 gene"
"0610038B21Rik"	1.48724996511745	0.0289258338334631	-5.11149764184859	4.88677048448876	-1.04598684511031	0.295567105987368	NA	"RIKEN cDNA 0610038B21 gene"
"0610039H22Rik"	1.87243457128231	0.244148373286614	-2.03416992927796	4.22556639235021	-0.481395803639611	0.63023521856858	NA	"RIKEN cDNA 0610039H22 gene"
"0610039K10Rik"	5.90300886678951	0.277401853497502	-1.84995066763421	1.33966060153884	-1.3809099599624	0.167306647153813	0.278117781533645	"RIKEN cDNA 0610039K10 gene"
"0610040B10Rik"	99.9959986777909	0.897608208422605	-0.155842225762807	0.456837151852567	-0.341132994833794	0.733003463110909	0.827286396118469	"RIKEN cDNA 0610040B10 gene"
