representative	grouped_terms	genes
respirasome	respirasome;respiratory chain complex;mitochondrial respirasome	Ndufb9;Ndufa2;Sdhb;Cyc1;Foxred1;Wdr93;Ttc19;Ndufc1;Ndufa9;Uqcrc2;Uqcc4;ND6;Ndufb2;Ndufs6;Ndufa13;Ndufs4;Cox7a2;Ndufb5;Dmac1;Cox7b;Ndufs7;Ndufa5;Cox4i2;Ndufb7;Ndufb4;Ndufb6;Cox4i1;ND4L;Uqcr11;Ndufab1;COX1;Uqcrfs1;Cox5b;Uqcr10;Uqcrb;CYTB;COX2;Cox7c;Ndufs3;Cox8a;Cox6c;ND4;Ndufa1;COX3;ND5;ND1;Ndufs8;ND3;Ndufs5;Cox6b1;Ndufv2;Ndufa11;Ndufv3;Ndufa3;Uqcrq;Ndufa8;ND2;Ndufa12;Ndufb3;Ndufa10;Cox6a1;Ndufb1;Coa6;Higd1a;1700066M21Rik
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;aerobic electron transport chain;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain;electron transport chain	Uqcrc2;ND6;Ndufs6;Chchd2;Cox7a2;Cox7b;Ndufs7;Cox4i2;Mtch2;Ndufaf1;Ndufb6;Cox4i1;ND4L;Uqcr11;COX1;Bdnf;Uqcrfs1;Cox5b;Uqcr10;Uqcrb;CYTB;Afg1l;COX2;Cox7c;Park7;Ndufs3;Cox8a;Dnajc15;ND4;COX3;ND5;ND1;Ndufs8;ND3;Ndufv2;Ndufv3;Uqcrq;Ndufa8;ND2;Ndufa12;Ndufa10;Cox6a1;Coa6;Iscu;Cycs;Ndufs4;Etfb;Ndufa5;Vps54;Sod2;Gpd1;Fdx1;Ndufb3
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufb8;Ndufc2;Ndufa4;Ndufb10;Ndufb11;Ndufb9;Ndufa2;Foxred1;Wdr93;Ndufc1;Ndufa9;ND6;Ndufb2;Ndufs6;Ndufa13;Ndufs4;Ndufb5;Dmac1;Ndufs7;Ndufa5;Ndufb7;Ndufb4;Ndufb6;ND4L;Ndufab1;Ndufs3;ND4;Ndufa1;ND5;ND1;Ndufs8;ND3;Ndufs5;Ndufv2;Ndufa11;Ndufv3;Ndufa3;Ndufa8;ND2;Ndufa12;Ndufb3;Ndufa10;Ndufb1
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process	Ndufb11;Ndufb9;Ndufa2;Sdhb;Atp5f1c;Ndufc1;Atp5po;Ndufa9;ND6;Ndufb2;Ndufs6;Ndufa13;Ndufs4;Ndufb5;Atp5pd;Ndufs7;Ndufa5;ATP6;Ndufb7;Ndufb4;Ndufb6;ND4L;Ndufab1;Atp5mf;Atp6-ps;Atp5f1e;Ndufs3;ND4;Ndufa1;ND5;ND1;Atp5pf;Ndufs8;ND3;Ndufs5;Ndufv2;Ndufa11;Ndufv3;Ndufa3;Ndufa8;ND2;Ndufa12;Ndufb3;Ndufa10;Ndufb1;Atp5mg;Atp5mc1;Slc25a13;Map2k1;Pid1;Bcl2l1;Ak3;Ldhd;Myc;Nme1;Adk;Nme2;Ak4;Ctps1;Uck1;Dtymk
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	Dlst;Ndufb9;Ndufa2;Csl;Idh1;Sdhb;Cyc1;Ireb2;Cs;Oxa1l;Atp5f1c;Idh3g;Ak4;Ndufc1;Atp5po;Ndufa9;Uqcrc2;ND6;Fxn;Ndufb2;Idh3a;Ndufs6;Ndufa13;Ndufs4;Mtfr1;Chchd2;Cox7a2;Ndufb5;Atp5pd;Pdha1;Slc25a23;Aco1;Cox7b;Ndufs7;Ndufa5;Cox4i2;Fh1;Mtch2;ATP6;Ndufaf1;Ndufb7;Bloc1s1;Ndufb4;Ndufb6;Shmt2;Cox4i1;ND4L;Uqcr11;Ndufab1;COX1;Bdnf;Uqcrfs1;Gadd45gip1;Cox5b;Uqcr10;Uqcrb;CYTB;Afg1l;Atp5mf;COX2;Atp6-ps;Cox7c;Park7;Atp5f1e;Ndufs3;Ogdh;Cox8a;Dnajc15;ND4;Mrps36;Ndufa1;Apoc3;COX3;ND5;ND1;Slc25a33;Mtfr1l;Atp5pf;Ndufs8;ND3;Cat;Ndufs5;Uqcc2;Ndufv2;Ndufa11;Ndufv3;Ndufa3;Uqcrq;Chchd10;Ndufa8;ND2;Ndufa12;Ndufb3;Ndufa10;Cox6a1;Ndufb1;Ide;Coa6;Myc;1700066M21Rik;Iscu;Mup1;Cycs;Mtln;Mybbp1a;Pnpt1;Prelid1;Lyrm7;Prkaca;Sdhaf4;Coq10b;Etfb;Bax;Vps54;Cyp1a2;Sod2;Gpd1;Igf1;Phka1;Ptges3;Acadm;Gcgr;Sorbs1;1810024B03Rik;Gck;Phlda2;Dyrk2;Tigar;Gnas;Gsk3a;Gsk3b;Ppp1r2;Comt;Pgam1;Adh7;Gapdhrt;Wdr93;Pgls;Cox17;Ppp2ca;Acat1;Tkfc;Fdx1;Mlx;Zbtb7a;Gapdh;Cxxc5;Acox1;Gale;Hmgcs2;Zbtb20;Tkt;Prkaa2;Mpi;Ddit4;Pfkfb1;H6pd;Etfbkmt;Adh4;Rpe;Taldo1
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	Ndufb11;Ndufb9;Ndufa2;Foxred1;Oxa1l;Tmem186;Ndufc1;Ndufa9;ND6;Ndufb2;Ndufs6;Ndufa13;Ndufs4;Ndufaf3;Ndufb5;Ndufaf2;Dmac1;Ndufs7;Ndufa5;Ndufaf1;Ndufb7;Ndufb4;Ndufb6;Ndufab1;Ndufs3;Tmem126a;ND4;Ndufa1;ND5;ND1;Ndufs8;Ndufs5;Ndufa11;Ndufa3;Ndufa8;ND2;Ndufa12;Ndufb3;Ndufaf4;Ndufa10;Ndufb1
positive regulation of response to biotic stimulus	positive regulation of response to biotic stimulus;positive regulation of innate immune response;regulation of innate immune response	Esr1;Mbl2;Zbp1;H2-Q4;Rtn4;Mapkapk3;H2-T22;H2-M3;Slc15a4;Trim30d;Trim12a;Irgm2;Igtp;Gbp2;Gbp3;Lacc1;Clec7a;Plcg2;H2-T23;Cd74;Gbp7;Trim12c;Sash1;Prkca;Pla2g5;H2-Q6;Cadm1;Ifi204;Cd274;Aurkb;Ltf;Flot1;Gm12250;Sting1;Cd86;Il12b;Irf7;H2-T10;Ddx60;Srebf1;Casp6;S100a8;Vav1;Cd300a;Dab2ip;Trim30c;Dpp4;Ifi209;Rftn1;Ifi205;Ptpn22;S100a9;Ifi207;Eif2ak2;Trim30a;Nagk;Il18rap;Nop53;Syk;Ifi203;H2-M5;Klrd1;Rsad2;H2-Q1;Ifi213;Tlr8;Oas1g;Txk;Oas1a;Rasgrp1;Cd300lf;Nlrc3;Trim5;Alpk1;Gimap5;Klrk1;Gsdme;Mmrn2;Tlr2;Mndal;Tasl;Cyba;Tnip2;Tyrobp;Ffar2;Prkce;Slamf6;Oas3;Btk;Rab7b;Usp50;Gfi1;Slc15a3;H2-Q7;App;Mr1;Grn;Nlrc5;Il12a;Gbp5;Ifi211;Gimap3;Tlr4;Appl2;Trem2;Nr1d1;Klrc2;Oas1b;Pspc1;Trim25;Hmgb2;Lbp;Peli3;Nlrc4;Clec4e;Nmi;Klrc1;Sin3a;Clec4n;Emilin2;Ifi208;Ifi206;Dhx58;Polr3d;Cd180;Tlr7;H2-D1;Rps6ka3;Nod1;Tril;Ticam2;Sfpq;Akt1;Mefv;Cd14;Cd226;Ulbp1;Csnk1a1;Casp4;Tifab;Nono;Nfkbil1;Spi1;Sh2d1b1;Treml4;Mavs;Tlr11;Ptprs;Ly86;Klrc3;Xcl1;Fbxo38;Hcfc2;Nlrp3;Cd36;Ipo5;Mmp12;Ly96;Scimp;Lyn;Ifih1;Polr3b;Ncf1;Samhd1;Trafd1;Parp14;Myo1f;Tap2;Serpinb1a;Trim21;Serpinb9;Tgfb1;Isg15;Mul1;Slamf8;Vsig4;Tap1;Klrb1f;Cep63
immune response-regulating signaling pathway	immune response-regulating signaling pathway;immune response-activating signaling pathway	Esr1;Mbl2;H2-Q4;Pde4b;Rtn4;Mapkapk3;Slc15a4;Irgm2;Igtp;Laptm5;Gbp2;Lacc1;Clec7a;Plcg2;C3;Bcl2;Cmklr1;H2-Q6;Ifi204;Lilrb4b;Cd274;Aurkb;Klhl6;Ltf;Flot1;Ctsh;Gm12250;Sting1;Cd86;Pde4d;Nckap1l;Irf7;Themis2;Ddx60;Usp12;Nfam1;Fyn;S100a8;Cd300a;Dab2ip;Ptpn6;Cmtm3;Prkd2;Cd3e;Ifi209;Rftn1;Ifi205;Ptpn22;S100a9;Ifi207;Eif2ak2;Trim30a;Nagk;Nop53;Syk;Cd8a;Lgals3;Ifi203;Ubash3a;Klrd1;Rsad2;H2-Q1;Ifi213;Tlr8;Nras;Oas1g;Txk;Oas1a;Skap1;Cd300lf;Nlrc3;Bcl2a1d;Alpk1;Klrk1;Tlr2;Ms4a1;Card11;Mndal;Tasl;Cyba;Tnip2;Tyrobp;Skint6;Ffar2;Prkch;Prkce;Oas3;Btk;Rab7b;Elf1;Usp50;Gfi1;Prkcb;Slc15a3;H2-Q7;App;Lat2;Ezr;Dgkz;Ptprj;Lipa;Gbp5;Ifi211;Tlr4;Tec;Appl2;Trem2;Lcp2;Nr1d1;Ccr7;Klrc2;Oas1b;Trim25;Lbp;Peli3;Cd47;Clec4e;Cblb;Lck;Blnk;Zap70;Nmi;Klrc1;Ptprc;Blk;Fosl2;Clec4n;Ifi208;Fcer1g;Ifi206;Dhx58;Tlr7;H2-D1;Rps6ka3;Nod1;Rapgef1;Tril;Ticam2;Lilrb4a;Akt1;Mefv;Cd14;Cd226;Gcsam;Cd40;Btla;Csnk1a1;Fcmr;Cd22;Btnl9;Casp4;Myo1g;Tifab;Cd19;Itgam;Nfkbil1;Sh2d1b1;Treml4;Mavs;Tlr11;Cd79a;Bmx;Ptprs;Pawr;Tcrb;Klrc3;Hcfc2;Nlrp3;Nfkb1;Cd36;Pram1;Ipo5;Cd38;Ly96;Scimp;Gata3;Kcnn4;Tespa1;Lyn;Ifih1;Skint3;Pigr;Clec2i;C3ar1;Mef2c;Gramd4;Sec14l1;Cd79b;Klri1;Irf1;Tifa;Pycard;Nlrp1a;Lpxn;Fyb1;Nr4a3;Pik3ap1;Naglu;Kcnj8;Aim2;Thy1;Fpr2;Arrb2;Fcho1;C5ar2;Icosl
organellar ribosome	organellar ribosome;mitochondrial ribosome	Mrpl52;Mrps25;Mrps27;Mrps18b;mt-Rnr2;Mrpl19;Mrps31;Mrps22;Mrpl32;Mrps14;Mrpl30;Mrps26;Mrps30;Mrps34;Mrpl41;Mrps24;Mterf4;Mrpl2;Mrps2;Mrpl17;Nsun3;Nsun4;Mrpl51;Mrps17;Mrps5;Mrpl55;Mrps15;Mrpl39;Mrpl1;Mrpl42;Mrpl54;Mrpl24;Mrpl34;Gadd45gip1;Mrpl53;Mrpl21;Mrps10;Mrps11;Aurkaip1;Mrps7;Mrps28;Mrpl20;Mrpl22;Mrpl47;Mrps33;Mrpl10;Mrpl49;Mrpl16;Mrpl36;Mrps21;Mrpl57;Mrpl38;Mrpl4
mononuclear cell proliferation	mononuclear cell proliferation;regulation of mononuclear cell proliferation;lymphocyte proliferation;regulation of lymphocyte proliferation;leukocyte proliferation;regulation of leukocyte proliferation	Prlr;H2-Q4;St6gal1;Psmb10;H2-T22;Il15;H2-DMb1;Emp2;Laptm5;H2-Aa;Ccr2;H2-T23;Cd74;Vcam1;Il7;Bcl2;Dlg1;Tnfrsf14;Casp3;Pde5a;Pla2g5;H2-Q6;Lilrb4b;Cnn2;Cd274;Il18;Coro1a;Irs2;Cd86;Gja1;Nckap1l;Il12b;Gm36723;H2-T10;Ebi3;Fyn;Cd300a;Tnfrsf1b;Ptpn6;Inpp5d;Cd3e;Ptpn22;Tfrc;Flt3l;Itgb2;Tgfb1;Vsir;Ccl5;Syk;Lgals3;H2-M5;H2-Q1;Ahr;Rasgrp1;Cd46;Sash3;Cd37;Igfbp2;Card11;Ccdc88b;Il6;Msn;Jak3;Slc11a1;Tyrobp;Slamf6;Btk;Prkcd;H2-DMb2;Fkbp1b;Il1b;Ikzf3;H2-Q7;Vsig4;Il7r;Lipa;Tyk2;Il12a;Clec4g;Pkn1;Tlr4;Jak2;Il10;Ephb6;Csf1r;Tsc2;Ccr7;Dock2;Cd44;Sftpd;Elf4;Nck2;Dlg5;Cblb;Itgal;Zap70;Spn;Slamf1;Ptprc;Fosl2;Tnfrsf9;Slfn2;Cd180;H2-D1;Lmbr1l;Lilrb4a;Glmn;Aif1;Cd40;Cd1d2;Btla;Il27;Cd22;Cd19;Itgam;Tnfsf9;Cd79a;Cd320;Pawr;Xcl1;Slfn1;Gpr183;Cd38;Il6st;Lyn;Flt3;Bst1;Sh3rf1;Tnfsf13b;Clec2i;Fcgr2b;Mef2c;Sh2d2a;Csf1;Irf1;Cd244a;Pycard;Cd1d1;P2rx7;Rac2;Foxj1;Cd209a;Tnfrsf13b;Zc3h12d;Icosl;Cd24a;Ephb2;Ccl19;Il34;Mapk3;Trem2;Csf2rb2;Il33;Csf2ra;Csf2rb;Tcirg1;Stat4
