representative	grouped_terms	genes
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	ND6;Ndufb1;Ndufa12;Ndufa5;Ndufb7;Ndufa13;ND3;Ndufa2;Ndufa11;Ndufa6;Ndufb2;ND1;Ndufv3;Ndufc1;Ndufs8;Ndufs7;Ndufs5;Ndufv2;Ndufa1;Ndufs6;Ndufa3;Ndufb3;Ndufb10;ND2;ND5;ND4L;ND4;Ndufa7;Ndufa8;Ndufb11;Ndufa10;Dmac1;Ndufb5;Foxred1;Ndufb4;Ndufab1;Ndufb9;Dmac2;Tafazzin
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;nucleoside triphosphate biosynthetic process;ATP biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ribose phosphate biosynthetic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;purine ribonucleotide biosynthetic process;purine nucleotide biosynthetic process;ribonucleotide biosynthetic process;purine-containing compound biosynthetic process	ND6;Ndufb1;Ndufa12;Ndufa5;Ndufb7;Antkmt;Atp5f1e;Ndufa13;ND3;Ndufa2;Ndufa11;Atp5pd;Atp5mf;Ndufa6;Ndufb2;ND1;Ndufv3;Atp5pf;Ndufc1;Ndufs8;Atp6-ps;Ndufs7;Ndufs5;Ndufv2;Atpsckmt;Ndufa1;Ndufs6;Ndufa3;Ndufb3;Ndufb10;ND2;ND5;ATP6;ND4L;ND4;Ndufa7;Atp5po;Ndufa8;Atp5me;Ndufb11;Sdhb;Ndufa10;Atp5f1d;Ndufb5;Ndufb4;Ndufab1;Atp5mc1;Dtymk;Uqcc3;Nme3;Uck2;Ak1;Cad;Nme2;Uck1;Nme6;Prkn;Nme1;Pfas;Ppcdc;Naprt;Tk1;Aspdh;Guca1a;Aprt;Nmrk1;G6pdx;Haao;Guca1b;Acacb;Prpsap2;Ampd2;Papss1;Adcy7;Flad1;Adcy1;Ido2;Dhodh;Acly;Entpd8
respiratory chain complex	respiratory chain complex;mitochondrial respirasome;respirasome	ND6;Uqcrq;Ndufb1;Ndufa12;Ndufa5;Ndufb7;Uqcr11;Cox6c;Ndufa13;ND3;Ndufa2;Ndufa11;Cox5b;Ndufa6;Ndufb2;Uqcr10;COX2;COX3;ND1;Ndufv3;Uqcc3;Ndufc1;Ndufs8;Cox7c;Ndufs7;Coa6;COX1;Ndufs5;Ndufv2;Cox6b1;CYTB;Ndufa1;Cox7b;Cox8b;Ndufs6;Cox6a1;Uqcrb;Ndufa3;Ndufb3;Ndufb10;ND2;Cox4i1;ND5;ND4L;ND4;Ndufa7;Ndufa8;Ndufb11;Sdhb;Ndufa10;Dmac1;Ndufb5;Cox7a2;Foxred1;Ndufb4;Ndufab1;Uqcrh;Ndufb9;Dmac2;Uqcc4
fatty acid catabolic process	fatty acid catabolic process;monocarboxylic acid catabolic process	Cyp4f14;Akt1;Acaa1a;Acot8;Etfa;Akt2;Acox2;Acox3;Eci1;Mfsd2a;Fabp1;Pex13;Acaa2;Irs1;Acaa1b;Slc27a4;Echs1;Acot2;Plin5;Acox1;Acads;Abhd2;Hadh;Auh;Mlycd;Aig1;Hsd17b4;Ehhadh;Hao1;Sesn2;Decr2;Ilvbl;Eci2;Etfdh;Acadvl;Acat1;Acadm;Abcd3;Hadhb;Decr1;Mtor;Acad11;Acadl;Hadha;Slc27a2;Abcd2;Crat;Lonp2;Crot;Cpt1a;Cpt2;Adipoq;Akr1a1;Cyp26b1;Cyp39a1;Ldha;Hexb;Sord;Slc16a1;Ids;Arsb;Pon3
fatty acid oxidation	fatty acid oxidation;lipid oxidation	Acaa1a;Adipor2;Etfa;Akt2;Acox2;Adipor1;Adh5;Acox3;Eci1;Cyp4v3;Mfsd2a;Fabp1;Pex13;Acaa2;Irs1;Acaa1b;Echs1;Fmo1;Adh4;Pdk4;Plin5;Acox1;Acads;Hadh;Auh;Mlycd;Ppara;Hsd17b4;Ehhadh;Por;Hao1;Sesn2;Ilvbl;Eci2;Etfdh;Pparg;Acadvl;Acat1;Acadm;Abcd3;Hadhb;Decr1;Mtor;Acad11;Acadl;Hadha;Slc27a2;Abcd2;Crat;Lonp2;Crot;Cpt1a;Cpt2;Adipoq
structural constituent of ribosome	structural constituent of ribosome;ribosomal subunit;ribosome	Mrpl52;Rpl12;Rps10;Rpl36;Mrps21;Rpl14;Mrpl14;Mrpl51;Rps18;mt-Rnr2;mt-Rnr1;Rpl38;Rpl35rt;Rpl35a;Mrpl23;Mrpl36;Mrpl54;Rpl36al;Rpl35;Rpl37a;Rplp1;Rpl26;Rpl17;Rpl31;Rpl39;Rps8;Uba52;Mrpl57;Rps20;Rpl18a;Rps28;Rps17;Rplp2;Rpl37;Rps27l;Rpl10;Rpl13a;Rpl23;Rps29;Rps16;Rpl21;Mrps25;Rpl6l;Rps15;Rps11;Rpl24;Rps12;Rps27a;Rpl13;Mrpl27;Mrps6;Rps14;Mrpl24;Rpl22l1;Rpsa;Mrpl18;Rps25;Rpl18;Ndufa7;Mrpl4;Rpl37rt;Mrpl20;Mrps35;Rpl29;Uba52rt;Mrpl19;Rps23;Rps6;Fau;Rpl36a;Rpl27;Rps18-ps5;Rpl36a-ps1;Gadd45gip1;Aurkaip1;Mrps33;Mrps28;Rpl10-ps3;Rbm3;Mcts1;Oas1b;Elavl4;Repin1
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process	Pex5;Pex7;Aldh4a1;Aasdhppt;Ces1d;Hpd;Qprt;Hibch;Akr1a1;Cyp4f14;Akt1;Acaa1a;Ahcyl;Acot8;Etfa;Cyp26b1;Akt2;Acsf3;Acox2;Kmo;Acox3;Eci1;Acot4;Cyp39a1;Amt;Acadsb;Oaz1;Mfsd2a;Fabp1;Pex13;Acaa2;Nos2;Acad8;Irs1;Aldh6a1;Acaa1b;Slc27a4;Echs1;Got2;Acot2;Abat;Plin5;Acox1;Ldha;Acads;Gcsh;Blmh;Hexb;Sord;Ddah1;Slc16a1;Ids;Abhd2;Hadh;Auh;Dld;Mlycd;Aig1;Hsd17b4;Ehhadh;Arsb;Hao1;Glud1;Sesn2;Decr2;Ilvbl;Eci2;Ppm1k;Etfdh;Pon3;Hmgcl;Acadvl;Acat1;Acadm;Abcd3;Hadhb;Decr1;Mtor;Acad11;Acadl;Hadha;Slc27a2;Abcd2;Crat;Lonp2;Crot;Cpt1a;Csad;Cpt2;Adipoq
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration;cellular respiration	ND6;Uqcrq;Ndufb1;Ndufa12;Ndufa5;Ndufb7;Uqcr11;Mlxipl;Antkmt;Atp5f1e;Ndufa13;ND3;Ndufa2;Ndufa11;Nupr1;Atp5pd;Atp5mf;Cox5b;Ndufa6;Ndufb2;Uqcr10;Tafazzin;COX2;Uqcc2;COX3;ND1;Ndufv3;Atp5pf;Uqcc3;Ndufc1;Gadd45gip1;Ndufs8;Atp6-ps;Cox7c;Ndufs7;Cycs;Apoc3;Coa6;COX1;Ndufs5;Ndufv2;Atpsckmt;Fxn;CYTB;Ndufa1;Cox7b;Cox8b;Ndufs6;Cox6a1;Uqcrb;Ndufa3;Ndufb3;Ndufb10;ND2;Cox4i1;ND5;Dnajc15;Park7;ATP6;ND4L;ND4;Ndufa7;Chchd10;Atp5po;Ndufa8;Atp5me;Ndufb11;Sdhb;Afg1l;Ndufa10;Atp5f1d;Ndufb5;Cox7a2;Ndufb4;Ndufab1;Uqcrh;Iscu;Ndufb9;Bloc1s1;Acly;Bax;Mybbp1a;Oas1b;Immp2l;Etfb;Mtln;Ifnlr1
peroxisome	peroxisome;microbody	Acot8;Ide;Trim37;Acox2;Gnpat;Acox3;Pex11b;Urad;Cd33;Acot4;Acsl6;Fabp1;Pex13;Nbr1;Nos2;Uox;Nudt12;Ephx2;Acaa1b;Mvk;Hspd1;Pxmp4;Acox1;Akap11;Isoc1;Sting1;Acot3;Idi1-ps1;Rab8b;Mpv17;Idi1;Mlycd;Pex19;Arf1;Hsd17b4;Ehhadh;Hao1;Pex3;Decr2;Vwa8;Eci2;Ech1;Pex11a;Ptgr3;Hmgcl;Pnpla8;Aldh3a2;Pex14;Acbd5;Abcd3;Acsl1;Hsdl2;Acad11;Amacr;Dhrs4;Agps;Slc27a2;Abcd2;Crat;Lonp2;Crot
translation at presynapse	translation at presynapse;translation at synapse;translation at postsynapse	Rpl12;Rps10;Rpl36;Rpl14;Rpl38;Rpl35a;Rpl35;Rpl37a;Rpl26;Rpl17;Uba52;Rps28;Rplp2;Rpl37;Rpl10;Rpl13a;Rpl23;Rps16;Rps11;Rpl24;Rps12;Rps27a;Rpl13;Rps14;Rpl29;Rpl36a;Rpl27;Rpl32;Rpl34;Rpl15
