representative	grouped_terms	genes
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;purine ribonucleotide biosynthetic process;ATP metabolic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleoside triphosphate metabolic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;nucleoside triphosphate metabolic process;carbohydrate derivative biosynthetic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process	Atp5me;Ndufa13;Ndufa6;Ndufb3;Ndufs7;Sdhb;Sdhd;Ndufb11;Atp5f1e;Ndufs4;Atp5f1b;Sdha;Atp5f1a;Atp5pf;Dnajc30;Ndufa8;Ndufb10;Ndufb2;Ndufv2;Ndufc1;Sdhc;Ndufs5;Ndufa9;Ndufc2;Ndufs6;Ndufb8;Atp5pb;Ndufa7;Atp5f1d;Ndufb9;Ndufa1;Ndufb5;Atp5f1c;Ndufb6;Atp5mf;Atp5po;Atp5mc3;Ak3;Mlycd;Acsl1;Guk1;Mmut;Pdk4;Acat1;Mpc1;Mpc2;Tspo;Dut;Atp5mc1;Rfk;Ndufv3;Mdh2;Pyurf
respiratory chain complex	respiratory chain complex;mitochondrial respirasome;respirasome	Cox5b;Ndufv3;Uqcrb;Cox6b2;Ndufa13;Ndufa6;Ndufb3;Ndufs7;Sdhb;Sdhd;Ndufb11;Ndufs4;Sdha;Cox6c;Uqcrc1;Cox6b1;Ndufa8;Ndufb10;Uqcr11;Uqcrc2;Dmac1;Uqcr10;Ndufb2;Uqcrfs1;Cox7b;Ndufv2;Ndufc1;Sdhc;Cox4i1;Cox6a1;Ndufs5;Cox5a;Ndufa9;Uqcrh;Ndufc2;Ndufs6;Ndufb8;Cox6a2;Coa6;Ndufa7;Ndufb9;Ndufa1;Ndufb5;Cox8a;Ndufb6;Ndufa4;Cox7a2
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;electron transport chain;respiratory electron transport chain;aerobic electron transport chain	Ndufs7;Sdhb;Sdhd;Sdha;Ndufaf1;Uqcrc1;Ndufa8;Uqcr11;Uqcrc2;Uqcr10;Uqcrfs1;Coq7;Cox7b;Ndufv2;Sdhc;Cox4i1;Cox6a1;Cox5a;Uqcrh;Ndufc2;Ndufs6;Ndufb8;Cox6a2;Coa6;Ndufa7;Park7;Ndufb9;Pink1;Chchd2;Cox8a;Dnajc15;Ndufb6;Cox7a2;Ndufb3;Etfa;Etfdh;Ndufs4;Etfb;Etfrf1;Fdx1
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	Cox5b;Atp5mc1;Ndufv3;Chchd3;Uqcrb;Micu1;Chchd10;Atp5me;Apoo;Ndufa13;Ndufa6;Ndufb3;Dnajc19;Micos10;Ndufs7;Sdhb;Sdhd;Ndufb11;Atp5f1e;Ndufs4;Atp5f1b;Sdha;Atp5f1a;Cox6c;Atp5pf;Uqcrc1;Cox6b1;Ndufa8;Ndufb10;Uqcr11;Uqcrc2;Dmac1;Uqcr10;Ndufb2;Atp5mk;Uqcrfs1;Cox7b;Apool;Ndufv2;Ndufc1;Timm22;Sdhc;Timm17b;Cox4i1;Cox6a1;Ndufs5;Cox5a;Ndufa9;Uqcrh;Ndufc2;Grpel1;Ndufs6;Ndufb8;Cox6a2;Atp5pb;Ndufa7;Atp5f1d;Ndufb9;Atp5mj;Atp5mc3;Ndufa1;Smdt1;Ndufb5;Cox8a;Dnajc15;Atp5f1c;Ndufb6;Atp5mf;Micos13;Ndufa4;Atp5po;Cox7a2;Cox6b2;Pyurf;Vdac2;Tomm6;Vdac3;Slc25a5;Coa6;Tomm22;Tomm7
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	Chchd10;Atp5me;Ndufa13;Ndufa6;Ndufb3;Ndufs7;Sdhb;Sdhd;Ndufb11;Atp5f1e;Ndufs4;Atp5f1b;Sdha;Atp5f1a;Atp5pf;Dnajc30;Ndufaf1;Uqcrc1;Ndufa8;Ndufb10;Uqcr11;Uqcrc2;Uqcr10;Ndufb2;Uqcrfs1;Coq7;Cox7b;Ndufv2;Ndufc1;Sdhc;Cox4i1;Cox6a1;Ndufs5;Cox5a;Ndufa9;Uqcrh;Ndufc2;Ndufs6;Ndufb8;Cox6a2;Atp5pb;Coa6;Ndufa7;Atp5f1d;Park7;Ndufb9;Pink1;Ndufa1;Ndufb5;Chchd2;Cox8a;Dnajc15;Atp5f1c;Ndufb6;Atp5mf;Atp5po;Cox7a2;Mdh2;Cat;Suclg1;Sod2;Prelid1;Etfa;Sdhaf4;Etfb;Etfrf1;Cisd1;Uqcrb;Acadm;Ndufv3;Trap1;Cox17;Etfdh;Crot;Acat1;Fdx1;Ndufa4
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	Glud1;Uqcrb;Mrps24;Micu1;Bok;Mrpl12;Timm8a1;Slc25a24;Sod2;Chchd10;Cox6b2;Atp5me;Slc25a39;Mrpl54;Slc3a1;Apoo;Mrpl58;Mrps31;Mrpl40;Ndufa13;Ndufa6;Ndufb3;Dnajc19;Micos10;Ndufs7;Nipsnap1;Mdh2;Hadhb;Sdhb;Sdhd;Acadvl;Ndufb11;Pisd;Mrpl36;Atp5f1e;Etfdh;Ndufs4;Atp5f1b;Eci1;Mrps33;Sdha;Atp5f1a;Hadh;Cpt2;Crat;Sqor;Mrps25;Mrpl11;Vdac2;Mrpl51;Cox6c;Mrpl45;Tmem70;Atp5pf;Dnajc30;Uqcrc1;Cox6b1;Gstk1;Mrps35;Mrps16;Ndufa8;Ndufb10;Mgst1;Crls1;Mrpl57;Uqcr11;Uqcrc2;Dmac1;Mrpl30;Timm8b;Tufm;Mrpl32;Vdac3;Uqcr10;Ndufb2;Atp5mk;Mtarc2;Uqcrfs1;Coq7;Hsd17b10;Mrpl13;Cox7b;Pdk4;Apool;Coa3;Maip1;Mrps14;Acat1;Mrpl17;Ndufv2;Gcat;Slc25a5;Ndufc1;Timm22;Mrpl16;Slc25a35;Tst;Sdhc;Timm17b;Mrps30;Cox4i1;Mrps34;Cox6a1;Ndufs5;Cox5a;Ghitm;Mrpl50;Mrpl34;Fdx1;Mrpl27;Mpc1;Ndufa9;Uqcrh;Ndufc2;Grpel1;Acaa2;Ndufs6;Ndufb8;Cox6a2;Atp5pb;Ndufa7;Atp5f1d;Tomm22;Ndufb9;Mrpl1;Pink1;Atp5mj;Atp5mc3;Ndufa1;Smdt1;Ndufb5;Cox8a;Dnajc15;Got2;Atp5f1c;Mrpl20;Tmem242;Mrpl35;Mpst;Ndufb6;Suclg1;Atp5mf;Tmem177;Micos13;Ndufa4;Higd2a;Atp5po;Mpc2;Cox7a2;Mrpl49
nucleotide biosynthetic process	nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;organophosphate biosynthetic process	Stoml2;Ndufa2;Idh2;Pdk2;Atp5pd;Gars1;Pdha1;Vdac1;Uqcc3;Nadk2;Ndufs8;Acsl6;Kmo;Coasy;Dut;Atp5mc1;Rfk;Ndufv3;Mlycd;Atp5me;Ndufa13;Acsl1;Ndufa6;Ndufb3;Ndufs7;Sdhb;Sdhd;Ndufb11;Atp5f1e;Ndufs4;Atp5f1b;Sdha;Atp5f1a;Kars1;Atp5pf;Dnajc30;Ndufa8;Ndufb10;Guk1;Ak3;Ndufb2;Mmut;Pdk4;Acat1;Ndufv2;Ndufc1;Sdhc;Ndufs5;Mpc1;Ndufa9;Ndufc2;Ndufs6;Ndufb8;Atp5pb;Ndufa7;Atp5f1d;Ndufb9;Atp5mc3;Ndufa1;Ndufb5;Atp5f1c;Ndufb6;Atp5mf;Atp5po;Mpc2;Pnpo;Dcxr;Dhrs7b;Apoa2;Scp2;Ptdss1;Mdh2;Pisd;Pyurf;Crls1
transmembrane transporter complex	transmembrane transporter complex;transporter complex	Atp5mc1;Ndufv3;Uqcrb;Micu1;Ndufa13;Ndufa6;Ndufb3;Ndufs7;Ndufb11;Ndufs4;Uqcrc1;Ndufa8;Ndufb10;Uqcr11;Uqcrc2;Dmac1;Uqcr10;Ndufb2;Uqcrfs1;Ndufv2;Ndufc1;Ndufs5;Ndufa9;Uqcrh;Ndufc2;Ndufs6;Ndufb8;Ndufa7;Ndufb9;Atp5mc3;Ndufa1;Smdt1;Ndufb5;Ndufb6;Ndufa4;Timm8a1
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufa13;Ndufa6;Ndufb3;Ndufs7;Ndufb11;Ndufs4;Ndufa8;Ndufb10;Dmac1;Ndufb2;Ndufv2;Ndufc1;Ndufs5;Ndufa9;Ndufc2;Ndufs6;Ndufb8;Ndufa7;Ndufb9;Ndufa1;Ndufb5;Ndufb6;Ndufa4
ribonucleotide metabolic process	ribonucleotide metabolic process;purine ribonucleotide metabolic process;nucleoside phosphate metabolic process;nucleotide metabolic process;nucleobase-containing small molecule metabolic process;ribose phosphate metabolic process;organophosphate metabolic process;purine-containing compound metabolic process;purine nucleotide metabolic process;carbohydrate derivative metabolic process;phosphorus metabolic process;phosphate-containing compound metabolic process	Clpx;Hmgcl;Stoml2;Mtch2;Ndufa2;Pdk2;Cs;Suclg2;Atp5pd;Pdha1;Vdac1;Uqcc3;Nudt5;Ndufs8;Acsl6;Acot10;Mcee;Coasy;Acot2;Atp5mc1;Rfk;Ndufv3;Nudt19;Mlycd;Atp5me;Ndufa13;Acsl1;Ndufa6;Ndufb3;Ndufs7;Sdhb;Sdhd;Ndufb11;Atp5f1e;Ndufs4;Atp5f1b;Sdha;Atp5f1a;Atp5pf;Dnajc30;Acadsb;Ndufa8;Ndufb10;Hsd17b4;Guk1;Ak3;Ndufb2;Mmut;Pdk4;Crot;Acat1;Ndufv2;Ndufc1;Tspo;Sdhc;Ndufs5;Mpc1;Ndufa9;Ndufc2;Ehhadh;Acaa2;Ndufs6;Ndufb8;Atp5pb;Ndufa7;Atp5f1d;Ndufb9;Atp5mc3;Ndufa1;Ndufb5;Atp5f1c;Ndufb6;Suclg1;Atp5mf;Hint1;Atp5po;Mpc2;Idh3b;Nnt;Idh2;Dcxr;Gars1;Nadk2;Kmo;Dut;Mdh2;Tymp;Kars1;Naxe;Fdx1;Park7;Prdx5;Aldh6a1;Pnpla8;Nme3;Idi1;Hexb;Hadha;Prkaca;Pnpo;Phb2;Dhrs7b;Apoa2;Scp2;Ptdss1;Dnajc19;Pisd;Pyurf;Crls1;Prdx6;Dbi;Aldh1a7;Cbr4;Sdhaf2;Ephx2;Ppa2;Pdp1;Htatip2;Prdx3;Sod1;Coq8a;Pink1
