0610005C13Rik	7963
0610006L08Rik	0
0610009E02Rik	85
0610009L18Rik	36
0610010K14Rik	574
0610025J13Rik	2
0610030E20Rik	1896
0610031O16Rik	5103
0610038B21Rik	0
0610039H22Rik	0
0610039K10Rik	3
0610040B10Rik	121
0610040F04Rik	27
0610040J01Rik	1164
0610042G04Rik	29
0610043K17Rik	320
1100001I12Rik	0
1110002E22Rik	1
1110002J07Rik	76
1110002L01Rik	364
1110002O04Rik	0
1110004F10Rik	1802
1110006O24Rik	17
1110015O18Rik	0
1110018N20Rik	101
1110019D14Rik	110
1110020A21Rik	233
1110025L11Rik	0
1110025M09Rik	41
1110028F11Rik	0
1110028F18Rik	0
1110032F04Rik	0
1110036E04Rik	1
1110038B12Rik	434
1110038F14Rik	276
1110046J04Rik	25
1110057P08Rik	0
1110058D11Rik	0
1110059E24Rik	241
1110059G10Rik	417
1110065P20Rik	294
1190005I06Rik	0
1190028D05Rik	0
1300002E11Rik	802
1500002C15Rik	5
1500002F19Rik	76
1500004A13Rik	12
1500009L16Rik	3
1500011B03Rik	23
1500012K07Rik	0
1500015A07Rik	110
1500015L24Rik	0
1500026H17Rik	96
1500035N22Rik	0
1600002D24Rik	0
1600010M07Rik	6
1600012H06Rik	1236
1600012P17Rik	0
1600014C10Rik	6138
1600014C23Rik	0
1600015H23Rik	0
1600019K03Rik	0
1600020E01Rik	547
1600023N17Rik	14
1600025M17Rik	0
1600027J07Rik	0
1600029I14Rik	0
1600029O15Rik	0
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	0
1700001G11Rik	3
1700001G17Rik	0
1700001J03Rik	8
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001K23Rik	0
1700001L05Rik	232
1700001O22Rik	4
1700003C15Rik	0
1700003D09Rik	1
1700003E16Rik	17
1700003E24Rik	0
1700003F12Rik	3
1700003G18Rik	8
1700003H04Rik	0
1700003I22Rik	0
1700003L19Rik	0
1700003M07Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H20Rik	0
1700006H21Rik	0
1700006J14Rik	10
1700007E05Rik	0
1700007F19Rik	5
1700007J10Rik	10
1700007L15Rik	64
1700007P06Rik	0
1700008C04Rik	0
1700008J07Rik	86
1700008K24Rik	0
1700008O03Rik	4
1700008P02Rik	0
